source_id,source_type,title,organisation,year_or_date,retrieval_date,location,licence_terms_note,redistributable,data_to_extract,notes
PROC_SOURCE_CNCRECHNER,generic catalogue,CNC machining cost calculator/reference,cncrechner.de,2026,2026-08-22,https://www.cncrechner.de/rechner/cnc-kosten/,check,check,CNC milling/turning hourly machine rates,German CNC cost reference site - gives 3-axis and 4/5-axis rate ranges
PROC_SOURCE_PREMIUMPARTS,generic catalogue,CNC machining cost per hour blog reference,premiumparts.com,2026,2026-08-22,https://www.premiumparts.com/blog/how-much-does-cnc-machining-cost-per-hour,check,check,CNC turning/lathe hourly machine rates,US-based manufacturing blog - gives 2-axis/advanced/mill-turn rate tiers
PROC_SOURCE_JFY_IHS,generic catalogue,Laser cutting cost reference (Germany),jfy.ihs-gmbh.de,2026,2026-08-22,https://jfy.ihs-gmbh.de/expertenwissen/laserschneiden,check,check,Laser cutting machine+operator hourly rate,German expert reference - gives market average and full range for laser cutting
PROC_SOURCE_NUMIQ,generic catalogue,Waterjet cutting cost per linear meter (Germany),numiq.com,2026,2026-08-22,https://numiq.com/de/bauarbeiten/wasserstrahlschneiden-60-x-60-cm-jollyecke/,check,check,Waterjet cutting price per linear meter (straight vs complex cuts),German contract-manufacturer quoting reference - per-meter basis rather than per-hour
PROC_SOURCE_PAYSCALE_TIG,salary aggregator,Average TIG Welder Hourly Pay in Germany,PayScale,2026,2026-08-22,https://www.payscale.com/research/DE/Job=Tig_Welder/Hourly_Rate,check,check,TIG welder raw hourly wage (not shop rate),Based on 7 salary profiles per site - small sample size; note as limitation
PROC_SOURCE_LINK2WORK_MIG,job listing,MIG/MAG Welder Berlin Germany job posting,link2work.pl,2026,2026-08-22,https://link2work.pl/en/oferty-pracy/mig-mag-welder-berlin-germany/,check,check,MIG/MAG welder raw hourly wage (not shop rate),Single job listing; Berlin-specific - small sample; note as limitation
PROC_SOURCE_TREATSTOCK_FDM,service marketplace,FDM 3D Printing Service listing (Bambu Lab X1C),Treatstock (3D Design DRUCKCOM seller),2026,2026-08-22,https://www.treatstock.com/c/3d-design-druckcom/services,check,check,FDM 3D printing service rate per hour,Professional print service listing - EUR12/hr; min order 1hr; ships from Bargteheide Germany
PROC_SOURCE_SEN3DPRINTS_SLA,service provider,SLA resin 3D printing cost reference (Kassel, Germany),sen3dprints.com,2026,2026-08-22,https://www.sen3dprints.com/germany/kassel/,check,check,SLA resin 3D printing price per gram + base fee; German SLA print service page - per-gram material rate plus separate base/setup fee
PROC_SOURCE_GOLDSUPPLIER_ANODIZING,service provider,Anodizing (Eloxieren) cost reference Germany,cncservices.goldsupplier.com,2026,2026-08-22,https://cncservices.goldsupplier.com/anodizing-cost/,check,check,Anodizing price per square meter + minimum lot fee,Gives per-m2 rate and separate minimum lot fee (EUR50-150/batch) - minimum fee likely dominates for small FS-team batch sizes
PROC_SOURCE_SALARYEXPERT_ASSEMBLY,salary aggregator,Industrial Technician salary Germany,SalaryExpert,2026,2026-08-22,https://www.salaryexpert.com/salary/job/industrial-technician/germany,check,check,Skilled metalworking technician raw hourly wage (not shop rate),Industriemechaniker role - gives hourly gross wage and annual base salary range
SUP_SCREWSANDMORE_2026,supplier,ScrewsAndMore fastener catalog,SAM Screws and More GmbH,2026,2026-08-22,https://www.screwsandmore.de,check,check,fastener unit prices,German fastener retailer - prices incl VAT; sold in packs
SUP_DECATHLON_2026,supplier,Decathlon Bofix hardware listing,Decathlon (Bofix brand),2026,2026-08-22,https://www.decathlon.de/p/mp/bofix-hexagon-bolt-m6x20-50-stuck/479426ff-ab84-4087-852a-729806ca8a72/c251,check,check,fastener unit price,CAUTION: generic hardware brand - no DIN standard or material grade specified - less rigorously specified than DIN-spec fasteners from dedicated suppliers
SUP_DATAPARTS_2026,supplier,DataParts online spare parts catalog,DataParts (dataparts.eu),2026,2026-08-22,https://www.dataparts.eu/de/corvus/dx4-cab/antrieb-raeder-radaufhaengung/getriebe-einzelteile/hex-bolt-m8x25-din-933,check,check,fastener unit price,CAUTION: item shown as out of stock (Lagerbestand 0) at time of retrieval - price is listed reference price - may need re-verification if actually purchasing
SUP_ACCU_2026,supplier,Accu Components metric hex nut catalog,Accu Components (accu-components.com),2026,2026-08-22,https://accu-components.com/de/metrische-sechskantmuttern/495894-HPN-M6-V2-C8-Z,check,check,fastener unit price with quantity-break pricing,Used 100-unit bulk price (EUR0.05/pc) as representative order size; full range EUR1.13/pc (qty1) down to EUR0.02/pc (qty500) - see product page for full price break table
MAT_DATASHEET_VERIFY_2026,generic catalogue,Material property verification batch (multiple datasheets),Various (eco-alum.com; gabrian.com; wikipedia; venuswires.com; matweb.com; professionalplastics.com; infinitalab.com; directplastics.co.uk; runwaycfrp.com),2026,2026-08-22,see individual materials.csv notes for per-material source,multiple public datasheets - generally freely citable,yes,Yield strength and density verification for AL_6061_T6; AL_7075_T6; STEEL_S235; STEEL_4130_CRMO; TI_GRADE5; POM_DELRIN; NYLON_PA6; CF_PLATE_3K,Batch web-search verification pass against real datasheets to replace/confirm memory-recalled values flagged VERIFY in earlier session; corrections made to STEEL_4130_CRMO (410->460 MPa); POM_DELRIN (65->72 MPa); NYLON_PA6 (50->82 MPa); all others confirmed correct
SUP_3DDRUCKSHOPNORD_2026,supplier,3D Druck Shop Nord PA6 filament listing,3ddruckshopnord.de (Spectrum Filaments reseller),2026,2026-08-22,https://3ddruckshopnord.de/pa6_nylon_1_75mm_1kg_spectrum_3,check,check,PA6 3D printing filament price per kg,Added to resolve NYLON_PA6 sheet-vs-filament material/process mismatch found in PILOT_010; EUR40.00/kg incl VAT direct
SUP_WURTH_2026,supplier,Wurth fastener catalog,Wurth,2026,,catalog/website,check,check,fastener unit prices (alternative to Misumi),Freeze exact retrieval date when pulling fastener prices
